promedio,horas_redes,distraccion_acad,horas_estudio,asistencia,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,indice
3.58,10,1,1,100,3.908262976918682,-0.328262976918682,0.0558755959074246,0.6002033167149151,0.00313123296625191,-0.5634259470871908,89
3.67,2,1,1,90,4.1743275093770125,-0.5043275093770125,0.0164330876663698,0.5998554004946841,0.0020028319928613613,-0.8480867037415905,90
4.17,4,3,3,95,4.161107708905251,0.00889229109474865,0.0038922315998064796,0.6004778586054087,1.4378752724023267e-7,0.01485901630122188,91
4.58,8,5,3,100,4.077016772685194,0.5029832273148065,0.023313299436097595,0.5998543519980147,0.0028662103022190507,0.8488000913745007,92
3.74,1,1,4,50,3.994679370175238,-0.2546793701752379,0.03156459313373661,0.6003168470794561,0.0010119388375428797,-0.4316065124515351,93
4.33,5,1,3,78,4.041669838089072,0.2883301619109284,0.009642373506259367,0.6002760000669717,3.7886793770732825e-4,0.48319630236163336,94
3.7,6.5,3,5,85,4.123512989957918,-0.423512989957918,0.008488120706564907,0.600042547962612,7.178885504803546e-4,-0.7093283635595176,95
3.77,2.5,5,0,60,3.4753017800048736,0.29469821999512646,0.02683814666209472,0.6002632446341623,0.0011408938687785637,0.4982123923191393,96
4,2.5,2,0,95,4.0656741487112935,-0.06567414871129351,0.014952827191607542,0.6004675122671074,3.081101555383943e-5,-0.11035588275807466,97
3.3,4,3,5,100,4.352641144095833,-1.0526411440958334,0.006569571173058016,0.5977877915534033,0.003419248304149986,-1.7613317484531605,98
3.3,4,2,1,90,4.025173734217065,-0.7251737342170648,0.007861275119090653,0.5992011095680478,0.0019468844518355426,-1.2141865465181934,99
3.9099999999999997,7.5,4,1,98,3.941868983226932,-0.0318689832269321,0.013766635645940651,0.6004755713396415,6.663658081392344e-6,-0.053518990603312534,100
3.67,7,4,3,90,4.001179304525906,-0.3311793045259064,0.008429292694436796,0.600211795879478,4.3589108784258514e-4,-0.5546651721753122,101
3.9,8,3,3,75,3.837763752753339,0.06223624724666088,0.010695698497608194,0.600468627339398,1.962203313808938e-5,0.1043537355891861,102
5,2,5,8,80,4.244806568054851,0.7551934319451492,0.035476234547851995,0.5990533748282995,0.010081749738356053,1.2824229728820138,103
5,7,3,3,95,4.080828831049135,0.9191711689508653,0.0072330034331522155,0.5984264871344878,0.002874250721302852,1.5385169300006325,104
3.64,2,5,6,80,4.107349495950209,-0.4673494959502089,0.024184346360785317,0.599939150530191,0.0025715217546939868,-0.7890189608728719,105
3.3,12,1,5,85,3.9273937172125963,-0.6273937172125965,0.08552259228268548,0.5994412873364376,0.01866049149385216,-1.0941660279162382,106
3.25,5,1,2,90,4.102724573443005,-0.8527245734430053,0.010505686715368346,0.5987069541954315,0.0036167896410324294,-1.4296564194624821,107
2.5,2,3,1,95,4.077169888704686,-1.5771698887046863,0.010364819171465992,0.5943983412510704,0.012203271809990352,-2.644054882785876,108
4,2,5,0,100,3.9112837319800384,0.08871626801996157,0.027433889230165327,0.6004585740263387,1.0581896199860921e-4,0.15002832120216866,109
4,3,2,1,90,4.061942125857472,-0.06194212585747216,0.00857013740686573,0.6004687361975821,1.550757385886266e-5,-0.1037491768746916,110
3.71,8,4,2,100,4.023852634381794,-0.313852634381794,0.014147015999431422,0.6002375451732568,6.64660612448636e-4,-0.5271682576191,111
3.56,4,5,1,90,3.8583753527098783,-0.29837535270987825,0.013354045291086237,0.6002608596209869,5.661400893163932e-4,-0.5009701242164414,112
3.5,12,5,0,100,3.843862786227025,-0.34386278622702493,0.06808646566957992,0.6001726264813012,0.0042972217070950764,-0.5940553614168774,113
3.72,4,4,4,95,4.174236784455177,-0.4542367844551767,0.00649626861894904,0.5999780465173108,6.29502448589331e-4,-0.7600236402496919,114
4.17,0.5,4,3,99,4.2073973497944515,-0.03739734979445153,0.016009189847226265,0.6004746291502726,1.0719555462978604e-5,-0.06287454522965065,115
3.75,2,4,3,90,4.084933605844257,-0.3349336058442569,0.0089123912905514,0.6002055909228243,4.718407609974244e-4,-0.561089644469863,116
3.5,2,3,6,98,4.453258386817856,-0.9532583868178559,0.010196273533157649,0.5982645975320552,0.004384019034328931,-1.5979590443397518,117
3.86,2,1,5,80,4.341088927414419,-0.4810889274144192,0.013376009235284668,0.5999132425832415,0.0014742861728026212,-0.8077539253275076,118
3.92,3,2,1,70,3.8456366735137153,0.07436332648628463,0.009712153673408903,0.6004646109259106,2.538739368206654e-5,0.12462570720227653,119
3.71,1.5,4,3,60,3.7688508574604564,-0.058850857460456485,0.018389139600283353,0.6004695585011354,3.0640520802450446e-5,-0.09906327216319785,120
3.9699999999999998,3,4,4,80,4.028758555461029,-0.05875855546102926,0.00771747176166779,0.6004696761493404,1.2544531128538557e-5,-0.09837460230737337,121
5,2.5,2,4,70,4.070206477490883,0.929793522509117,0.0083571908176577,0.5983763278207733,0.0034058904100284213,1.5571786275144213,122
3,1,3,2,100,4.2267344137949845,-1.2267344137949845,0.011381996010953601,0.5968035333153188,0.008124008119515809,-2.0576231747624836,123
5,6,4,3,70,3.8016247124458196,1.1983752875541804,0.009198470730869063,0.5969797039562239,0.006237863055813995,2.0078398152399584,124
3.69,4.5,5,3,90,3.99246137752687,-0.30246137752686986,0.010286227908352858,0.6002555611919829,4.4533273465031665e-4,-0.507042858801067,125
4.58,1,2,3,70,4.056630528899173,0.5233694711008274,0.011521567297785367,0.5998108009934278,0.0014972757457805076,0.8779187783658337,126
3.9499999999999997,3.5,3,1,100,4.091106812862567,-0.14110681286256765,0.009737338626325137,0.6004296591737136,9.165228216395009e-5,-0.23648431016355656,127
4,2,3,4,95,4.28335549686165,-0.28335549686164985,0.005822777530675404,0.6002836629435541,2.1926722307318393e-4,-0.47394646582278105,128
3.63,3,2,2,80,4.022517935737915,-0.3925179357379154,0.005588803959718649,0.6001050703891537,4.0365815453140735e-4,-0.6564566543802928,129
3.8499999999999996,2,1,4,85,4.326436754448037,-0.476436754448037,0.01139551082587802,0.5999252284732214,0.0012268939058523443,-0.7991411971852247,130
4.58,7.5,2,3,90,4.033941435580281,0.5460585644197193,0.012057957278526996,0.599751263479654,0.0017076430868085025,0.9162269050742089,131
5,3,4,1,95,3.984802036561883,1.015197963438117,0.011079772337552819,0.5979647352883082,0.0054127459635984684,1.7025491543537157,132
3.5,4,3,3,100,4.215184071991191,-0.7151840719911906,0.005180285005817728,0.5992394350371494,0.0012411046629937968,-1.1958458300350259,133
3.82,4.33333333333333,2,3,70,3.9340692234311474,-0.11406922343114756,0.006754877931494175,0.6004465222031903,4.129994240553037e-5,-0.19088412697953017,134
5,2,3,1,80,3.914940799446869,1.0850592005531312,0.008785837185076731,0.597612726910262,0.004880483778760304,1.8176038584620062,135
3.4099999999999997,1,1,2,80,4.181680476586231,-0.7716804765862313,0.018442896282640796,0.5990162590432421,0.005284219644057651,-1.299000382871223,136
5,2,1,5,95,4.503318016672236,0.4966819833277638,0.013166377982799486,0.5998761454586711,0.0015461196837029919,0.8338462679103027,137
3.8,3,3,5,90,4.271248043875993,-0.4712480438759936,0.005583803320960329,0.5999403717484142,5.813005149303671e-4,-0.7881248428985215,138
4.75,5,1,8,80,4.406943063585054,0.3430569364149463,0.025244487004079018,0.6001874208819686,0.0014494906291906756,0.5794926158825179,139
3.5,4.5,2,2,70,3.8592126221054253,-0.35921262210542526,0.007361773772759677,0.6001651377122256,4.4690118459884677e-4,-0.6012922997891753,140
4.17,2,3,2,100,4.1999747878429465,-0.029974787842946604,0.008930609743976494,0.6004758678888196,3.786980547809188e-6,-0.05021501976549664,141
3.7800000000000002,0.166666666666667,3,10,100,4.79886239050692,-1.0188623905069196,0.03770436517335493,0.5978763258883222,0.019593567473663507,-1.7321712457091698,142
5,1,3,2,80,4.010428961451228,0.9895710385487719,0.008832574857306872,0.598095696859801,0.004081267788094876,1.6576888554533658,143
3,1,3,2,75,3.9563525983652887,-0.9563525983652887,0.009615273207049127,0.5982514873767688,0.004156212050319192,-1.6026756055649367,144
3.46,8,5,0.166666666666667,100,3.88228592053695,-0.42228592053695024,0.027499308116225408,0.600036601472061,0.0024036043728771204,-0.7141528831604163,145
4,12,3,0,98,3.773290910983541,0.22670908901645914,0.03534747057366839,0.6003498136017738,9.050284737752733e-4,0.38495771660935024,146
3.9,2,4,3,99,4.182271059398947,-0.28227105939894725,0.010531270256495587,0.6002842301299226,3.9729872337596566e-4,-0.47325462605644847,147
3.4,0,1,6,70,4.395219051952414,-0.995219051952414,0.031931354973552706,0.5980107543583869,0.015644088181399052,-1.686922597339158,148
3.65,6,3,5,90,4.190969166019878,-0.5409691660198779,0.007239245418480088,0.5997682202806786,9.964533595555895e-4,-0.9054818788419937,149
3.7800000000000002,10,2,3,99,4.039357910033953,-0.2593579100339527,0.02871778331265291,0.6003113592340381,9.492200173358368e-4,-0.4388906519222786,150
3.63,12,3,2,80,3.7160730759788025,-0.08607307597880265,0.02914089442128342,0.6004596850266806,1.0617761378298528e-4,-0.14568631923387956,151
3.79,1.5,1,1,100,4.305868814213279,-0.5158688142132792,0.02198412154765576,0.5998228609276671,0.002835330608093939,-0.8699531659004517,152
3,3,1,1,12,3.2839590879075846,-0.2839590879075846,0.06822710491467053,0.6002697571719237,0.0029373533633855705,-0.49060309949028513,153
3,2,1,4,60,4.056054939018341,-1.056054939018341,0.01936486511393606,0.5977348622213484,0.010410712522124483,-1.7785346835106315,154
3.4,5,5,5,40,3.58578377148447,-0.1857837714844699,0.041789583379072986,0.6003913568919521,7.282318488160362e-4,-0.3165241729151102,155
3.9,2,5,0,70,3.586825553464403,0.313174446535597,0.025644033807449812,0.6002357574695637,0.0012280937835131994,0.5291234943927219,156
4,5,2,0,60,3.595218628008701,0.40478137199129893,0.016650035503871674,0.600076929216622,0.0013078195943575725,0.6807631142994554,157
4,7.5,2,3,100,4.142094161752159,-0.1420941617521594,0.013978251790911307,0.6004287685230298,1.3456750255996257e-4,-0.23865060454165546,158
3.25,4,2,2,80,3.9857495440975077,-0.7357495440975077,0.005037875592400783,0.5991672856991652,0.0012770332273361444,-1.2301449239161506,159
3.4899999999999998,5,4,2,90,3.965952489000925,-0.475952489000925,0.005995463215951114,0.5999293507608269,6.372077759061881e-4,-0.7961574631849624,160
